// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// 红色药水
IG_VioletBox,2514,1	// 护肩甲
IG_VioletBox,2515,1	// 老鹰之翅膀
IG_VioletBox,2601,7	// 力量戒指
IG_VioletBox,2602,7	// 智力耳环
IG_VioletBox,2603,7	// 体力项链
IG_VioletBox,2604,7	// 防御手套
IG_VioletBox,2605,7	// 敏捷别针
IG_VioletBox,2607,7	// 发夹
IG_VioletBox,2608,7	// 幸运珠链
IG_VioletBox,2609,7	// 骷髅戒指
IG_VioletBox,2610,7	// 金戒指
IG_VioletBox,2611,7	// 银戒指
IG_VioletBox,2612,7	// 花戒指
IG_VioletBox,2613,7	// 钻石戒指
IG_VioletBox,2614,1	// 永恒戒指
IG_VioletBox,2615,1	// 防御戒指
IG_VioletBox,2616,1	// 潜能戒指
IG_VioletBox,2617,7	// 智慧手套
IG_VioletBox,2618,7	// 黑狐项链
IG_VioletBox,2621,1	// 力量戒指
IG_VioletBox,2622,1	// 智力耳环
IG_VioletBox,2623,1	// 体力项链
IG_VioletBox,2624,1	// 防御手套
IG_VioletBox,2625,1	// 敏捷别针
IG_VioletBox,2626,1	// 幸运珠链
IG_VioletBox,2627,7	// 皮带
IG_VioletBox,2628,7	// 初学者手镯
IG_VioletBox,2652,1	// 受诅咒的幸运别针
IG_VioletBox,2654,1	// 火忍西怒毕的腰带
IG_VioletBox,2655,1	// 血迹铁球
IG_VioletBox,2656,1	// 过度的改变
IG_VioletBox,5002,1	// 首领冠冕
IG_VioletBox,5003,7	// 小丑帽
IG_VioletBox,5005,7	// 防毒面具
IG_VioletBox,5006,7	// 颓废眼镜
IG_VioletBox,5007,1	// 领导者头箍
IG_VioletBox,5009,7	// 安全帽
IG_VioletBox,5010,7	// 印地安发箍
IG_VioletBox,5011,7	// 天线头饰
IG_VioletBox,5014,7	// 剑士头盔
IG_VioletBox,5015,7	// 蛋壳帽
IG_VioletBox,5017,1	// 骨制头盔
IG_VioletBox,5030,7	// 熊猫帽
IG_VioletBox,5035,7	// 波利帽
IG_VioletBox,5037,7	// 水果皮帽
IG_VioletBox,5053,1	// 人面狮身帽
IG_VioletBox,5055,7	// 初学者蛋壳帽
IG_VioletBox,5066,1	// 恶魔女仆的角
IG_VioletBox,5072,1	// 恶魔侍者的角
IG_VioletBox,5085,1	// 红色小发带
IG_VioletBox,5088,7	// 吓坏眼的假面
IG_VioletBox,5089,7	// 讨厌的假面
IG_VioletBox,5090,7	// 哥布灵首领假面
IG_VioletBox,5111,1	// 啤酒企鹅之帽
IG_VioletBox,5113,1	// 愤怒的嘴
IG_VioletBox,5116,1	// 香蕉帽
IG_VioletBox,5118,1	// 小狗发圈
IG_VioletBox,5119,1	// 超级初学者之帽
IG_VioletBox,5120,1	// 软呢帽
IG_VioletBox,7001,14	// 霉菌粉末
IG_VioletBox,7002,14	// 兽人之牙
IG_VioletBox,7003,14	// 虎蜥皮
IG_VioletBox,7004,14	// 泥团
IG_VioletBox,7005,14	// 骷髅头
IG_VioletBox,7006,14	// 红色蝙蝠翅膀
IG_VioletBox,7007,14	// 巨鼠指甲
IG_VioletBox,7008,14	// 钢硬之角
IG_VioletBox,7009,14	// 彩色外皮
IG_VioletBox,7010,14	// 铁蝎尾巴
IG_VioletBox,7011,14	// 猴子指甲
IG_VioletBox,7012,14	// 强韧鳞梗
IG_VioletBox,7013,14	// 珊瑚
IG_VioletBox,7014,14	// 破旧画像
IG_VioletBox,7015,14	// 回忆书签
IG_VioletBox,7016,14	// 老旧汤匙
IG_VioletBox,7026,14	// 钟塔之钥
IG_VioletBox,7027,14	// 钟塔钥匙
IG_VioletBox,7030,14	// 沙漠之狼之指甲
IG_VioletBox,7031,14	// 破旧平底锅
IG_VioletBox,7032,14	// 蛋壳碎片
IG_VioletBox,7033,14	// 毒魔菇芽孢
IG_VioletBox,7034,14	// 破洞圣诞袜
IG_VioletBox,7035,14	// 火柴
IG_VioletBox,7036,14	// 卡仑之牙
IG_VioletBox,7038,14	// 毛线
IG_VioletBox,7041,14	// 黄晶沙的一角
IG_VioletBox,7047,14	// 爱丽丝的围裙
IG_VioletBox,7048,14	// 狮鹫兽的指甲
IG_VioletBox,7049,14	// 石头
IG_VioletBox,7053,14	// 赛依伐
IG_VioletBox,7054,14	// 布里刊
IG_VioletBox,7059,14	// 卡普拉仓库免费利用券
IG_VioletBox,7060,14	// 卡普拉传送点免费利用券
IG_VioletBox,7061,14	// 卡普拉手推车免费利用券
IG_VioletBox,7063,14	// 柔软的羽毛
IG_VioletBox,7064,14	// 蜻蜓的翅膀
IG_VioletBox,7065,14	// 海獭的皮革
IG_VioletBox,7066,14	// 冰块一角
IG_VioletBox,7067,14	// 石头一角
IG_VioletBox,7068,14	// 燃烧一半的木材
IG_VioletBox,7069,14	// 破裂的盔甲一角
IG_VioletBox,7070,14	// 破裂的硬壳
IG_VioletBox,7071,14	// 破烂烂的衣服
IG_VioletBox,7072,14	// 锈的飞镖
IG_VioletBox,7093,14	// 齿轮
IG_VioletBox,7094,14	// 未知的碎片
IG_VioletBox,7095,14	// 金属破片
IG_VioletBox,7096,14	// 凝固的岩浆
IG_VioletBox,7097,14	// 燃烧的心脏
IG_VioletBox,7098,14	// 火种
IG_VioletBox,7099,14	// 老旧魔法图
IG_VioletBox,7100,14	// 尖锐的叶子
IG_VioletBox,7101,14	// 七彩大嘴鸟之羽
IG_VioletBox,7106,14	// 魔羌之角
IG_VioletBox,7107,14	// 魔羌之毛皮
IG_VioletBox,7108,14	// 盾牌的碎片
IG_VioletBox,7109,14	// 闪亮的枪锥
IG_VioletBox,7110,14	// 破裂之剑
IG_VioletBox,7111,14	// 光滑的纸
IG_VioletBox,7112,14	// 恐怖的纸刃
IG_VioletBox,7113,14	// 破碎的法老王象征
IG_VioletBox,7114,14	// 杜唐卡门面具
IG_VioletBox,7115,14	// 哈比的羽毛
IG_VioletBox,7116,14	// 哈比的指甲
IG_VioletBox,7117,14	// 撕裂的魔法书
IG_VioletBox,7118,14	// 撕裂的卷轴
IG_VioletBox,7119,14	// 菌丝
IG_VioletBox,7120,14	// 燃烧的马蹄铁
IG_VioletBox,7121,14	// 蜂蜜罐
IG_VioletBox,7122,14	// 炙热的毛
IG_VioletBox,7123,14	// 龙皮
IG_VioletBox,7124,14	// 砂团
IG_VioletBox,7125,14	// 蝎子之螯
IG_VioletBox,7126,14	// 巨大杰勒比结晶
IG_VioletBox,7134,14	// 药钵
IG_VioletBox,7135,14	// 火烟瓶
IG_VioletBox,7136,14	// 盐酸瓶
IG_VioletBox,7137,14	// 噬人植物瓶
IG_VioletBox,7138,14	// 刺锤瓶
IG_VioletBox,7139,14	// 护贝药
IG_VioletBox,7149,14	// 黄色碟子
IG_VioletBox,7150,14	// 竹筒
IG_VioletBox,7151,14	// 油纸
IG_VioletBox,7152,14	// 光泽的头发
IG_VioletBox,7153,14	// 旧和服
IG_VioletBox,7154,14	// 毒粉
IG_VioletBox,7155,14	// 牛蛙之皮
IG_VioletBox,7156,14	// 破旧之手里剑
IG_VioletBox,7157,14	// 黑色覆面
IG_VioletBox,7158,14	// 破碎的酒缸
IG_VioletBox,7159,14	// 天狗的鼻子
IG_VioletBox,7161,14	// 拉链熊毛皮
IG_VioletBox,7162,14	// 片云
IG_VioletBox,7163,14	// 锐利的触角
IG_VioletBox,7164,14	// 石榴桃
IG_VioletBox,7165,14	// 害羞之服
IG_VioletBox,7166,14	// 柔软的绸缎布
IG_VioletBox,7167,14	// 魔幻拉链
IG_VioletBox,7168,14	// 巨大翅膀
IG_VioletBox,7169,14	// 太极盘
IG_VioletBox,7171,14	// 花豹外皮
IG_VioletBox,7172,14	// 花豹指甲
IG_VioletBox,7174,14	// 缎带
IG_VioletBox,7175,14	// 包装纸
IG_VioletBox,7182,14	// 可可
IG_VioletBox,7186,14	// 细长梗
IG_VioletBox,7187,14	// 庆典面具
IG_VioletBox,7188,14	// 褐色树根
IG_VioletBox,7189,14	// 树木心脏
IG_VioletBox,7190,14	// 昆虫硬壳
IG_VioletBox,7191,14	// 纸灯笼
IG_VioletBox,7192,14	// 小风车手里刀
IG_VioletBox,7193,14	// 绿芽
IG_VioletBox,7194,14	// 柔软的草叶
IG_VioletBox,7195,14	// 弹弓
IG_VioletBox,7196,14	// 木制护肩
IG_VioletBox,7197,14	// 强韧木藤条
IG_VioletBox,7198,14	// 巨大叶子
IG_VioletBox,7200,14	// 橡皮筋
IG_VioletBox,7201,14	// 木块
IG_VioletBox,7202,14	// 巨象甲虫之螯
IG_VioletBox,7203,14	// 坚硬树枝
IG_VioletBox,7205,14	// 黑色布条
IG_VioletBox,7206,14	// 黑猫娃娃
IG_VioletBox,7207,14	// 旧斗篷
IG_VioletBox,7208,14	// 生锈厨刀
IG_VioletBox,7209,14	// 无颅武士的头盔
IG_VioletBox,7210,14	// 无颅武士的盔甲一角
IG_VioletBox,7211,14	// 罗诫塔石头碎片
IG_VioletBox,7212,14	// 吊颈娃娃
IG_VioletBox,7213,14	// 绣针包
IG_VioletBox,7214,14	// 蝙蝠笼子
IG_VioletBox,7215,14	// 断针
IG_VioletBox,7216,14	// 红色围巾
IG_VioletBox,7217,14	// 缠线筒
IG_VioletBox,7218,14	// 腐烂的绳子
IG_VioletBox,7219,14	// 彩色袜子
IG_VioletBox,7220,14	// 绿色粘稠物
IG_VioletBox,7221,14	// 纠缠铁链
IG_VioletBox,7222,14	// 原木块
IG_VioletBox,7223,14	// 扭曲的自画像
IG_VioletBox,7225,14	// 南瓜灯笼
IG_VioletBox,7262,14	// 折扇
IG_VioletBox,7263,14	// 猫眼石
IG_VioletBox,7264,14	// 干沙子
IG_VioletBox,7265,14	// 舞狮之角
IG_VioletBox,7266,14	// 舞狮的假牙
IG_VioletBox,7267,14	// 豹纹内裤
IG_VioletBox,7268,14	// 小鬼灵
IG_VioletBox,7269,14	// 围兜兜
IG_VioletBox,7270,14	// 婴儿的奶瓶
IG_VioletBox,7315,1	// 黑色水晶碎片
IG_VioletBox,7316,1	// 昆虫的长腿
IG_VioletBox,7317,1	// 生锈的螺丝
IG_VioletBox,7318,1	// 老旧的十字镐
IG_VioletBox,7319,1	// 老旧的铁板
IG_VioletBox,7320,1	// 粉尘
IG_VioletBox,7321,1	// 水晶碎片
IG_VioletBox,7322,1	// 有毒瓦斯
IG_VioletBox,7323,1	// 变形水壶
IG_VioletBox,7325,1	// 软管
IG_VioletBox,7326,1	// 荧光色的液体
IG_VioletBox,7327,1	// 怀中电灯
IG_VioletBox,7436,1	// 苦恼的碎片
IG_VioletBox,7437,1	// 悲伤的碎片
IG_VioletBox,7438,1	// 憎恨的碎片
IG_VioletBox,7439,1	// 绝望的碎片
IG_VioletBox,7440,1	// 红色羽毛
IG_VioletBox,7441,1	// 蓝色羽毛
IG_VioletBox,7442,1	// 被诅咒的印
IG_VioletBox,7443,1	// 多头龙的首级
IG_VioletBox,7444,1	// 财宝箱
IG_VioletBox,7445,1	// 绿色龙珠
IG_VioletBox,7446,1	// 蓝色龙珠
IG_VioletBox,7447,1	// 红色龙珠
IG_VioletBox,7448,1	// 黄色龙珠
IG_VioletBox,7449,1	// 染血的书页
IG_VioletBox,7450,1	// 骨制盔甲的碎片
IG_VioletBox,7451,1	// 脱落的红色龙鳞
IG_VioletBox,7452,1	// 黄色香料
IG_VioletBox,7453,1	// 甜酱汁
IG_VioletBox,7454,1	// 淡酱汁
IG_VioletBox,7455,1	// 辣酱汁
IG_VioletBox,7456,1	// 红色香料
IG_VioletBox,7457,1	// 食用油
IG_VioletBox,7472,1	// 1级烹饪书
IG_VioletBox,7473,1	// 2级烹饪书
IG_VioletBox,7474,1	// 3级烹饪书
IG_VioletBox,7475,1	// 4级烹饪书
IG_VioletBox,7476,1	// 5级烹饪书
IG_VioletBox,7477,1	// 6级烹饪书
IG_VioletBox,7478,1	// 7级烹饪书
IG_VioletBox,7479,1	// 8级烹饪书
IG_VioletBox,7480,1	// 9级烹饪书
IG_VioletBox,7481,1	// 10级烹饪书
IG_VioletBox,7482,1	// 锅
IG_VioletBox,7512,1	// 烧焦的部品碎片
IG_VioletBox,7513,1	// 怀表
IG_VioletBox,7561,1	// 冰块心脏
IG_VioletBox,7562,1	// 冰块鳞片
IG_VioletBox,7563,1	// 血色的轮
IG_VioletBox,7564,1	// 发臭的鱼
IG_VioletBox,7565,1	// 黏黏的毒液
IG_VioletBox,7567,1	// 异常的帽子
IG_VioletBox,7568,1	// 白色面具
IG_VioletBox,7751,17	// 破旧的白衣
IG_VioletBox,7752,16	// 抖落的骷髅
IG_VioletBox,7753,17	// 断裂的农器具
IG_VioletBox,10001,7	// 牛角骨盔
IG_VioletBox,10002,7	// 宠物防毒面具
IG_VioletBox,10003,7	// 潜水帽子
IG_VioletBox,10004,7	// 宠物奶嘴
IG_VioletBox,10005,7	// 三色假发
IG_VioletBox,10006,7	// 蛇饰发箍
IG_VioletBox,10007,7	// 宠物发带
IG_VioletBox,10008,7	// 体罚棒
IG_VioletBox,10009,7	// 野生花
IG_VioletBox,10010,7	// 变形锅子
IG_VioletBox,10011,7	// 宠物发夹
IG_VioletBox,10012,7	// 宠物蛋壳帽
IG_VioletBox,10013,7	// 宠物书包
IG_VioletBox,10014,7	// 蝗虫眼镜
IG_VioletBox,10015,7	// 宠物围兜兜
IG_VioletBox,10016,7	// 宠物铃铛
IG_VioletBox,10017,7	// 树皮裤
IG_VioletBox,10018,7	// 猴子发箍
IG_VioletBox,10019,7	// 红色领巾
IG_VioletBox,10020,7	// 灵幻道士之剑
IG_VioletBox,13001,1	// 天龙短剑
IG_VioletBox,13002,1	// 卡卡普剑
IG_VioletBox,13004,1	// 考尔德短刀
IG_VioletBox,13163,1	// 长身来复枪
IG_VioletBox,13164,1	// 长身来复枪
IG_VioletBox,13167,1	// 短口创DD
IG_VioletBox,13168,1	// THUNDER-P
IG_VioletBox,13170,2	// 优化的来复枪
IG_VioletBox,13200,1	// 子弹
IG_VioletBox,13201,1	// 银色子弹
IG_VioletBox,13202,1	// 红色子弹
IG_VioletBox,13203,1	// 火焰子弹
IG_VioletBox,13204,1	// 雷击子弹
IG_VioletBox,13205,1	// 毒物子弹
IG_VioletBox,13206,1	// 暗盲子弹
IG_VioletBox,13207,1	// 冰冻子弹
IG_VioletBox,13304,1	// 风魔飞镖:启明星
