// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// 红色药水
IG_BlueBox,2241,3	// 白胡须
IG_BlueBox,2242,3	// 高级太阳眼镜
IG_BlueBox,2243,3	// 旋转眼镜
IG_BlueBox,2244,3	// 红蝶发带
IG_BlueBox,2245,3	// 绅士帽
IG_BlueBox,2246,3	// 黄金帽
IG_BlueBox,2247,3	// 回忆帽
IG_BlueBox,2248,3	// 牛仔帽
IG_BlueBox,2249,1	// 黄金冠冕
IG_BlueBox,2250,3	// 粉纱发圈
IG_BlueBox,2251,3	// 神圣之帽
IG_BlueBox,2252,3	// 魔法帽
IG_BlueBox,2253,3	// 向日葵头饰
IG_BlueBox,2254,1	// 天使发圈
IG_BlueBox,2255,1	// 恶魔发圈
IG_BlueBox,2257,3	// 兽角头饰
IG_BlueBox,2258,1	// 尖角发圈
IG_BlueBox,2259,3	// 竹蜻蜓发圈
IG_BlueBox,2260,3	// 迷你眼镜
IG_BlueBox,2261,3	// 普隆德拉军帽
IG_BlueBox,2262,3	// 小丑鼻子
IG_BlueBox,2263,3	// 时髦眼罩
IG_BlueBox,2265,3	// 侍卫口罩
IG_BlueBox,2266,3	// 金属口罩
IG_BlueBox,2267,3	// 香烟
IG_BlueBox,2268,3	// 烟斗
IG_BlueBox,2269,3	// 花叶
IG_BlueBox,2270,3	// 草叶
IG_BlueBox,2271,3	// 眼镜头饰
IG_BlueBox,2274,1	// 亡者发箍
IG_BlueBox,2275,3	// 头巾
IG_BlueBox,2276,3	// 大眼睛眼镜
IG_BlueBox,2277,3	// 护士帽
IG_BlueBox,2278,3	// 笑脸面具
IG_BlueBox,2279,3	// 火线头饰
IG_BlueBox,2282,3	// 光环
IG_BlueBox,2285,3	// 苹果头饰
IG_BlueBox,2287,3	// 海盗头巾
IG_BlueBox,2288,3	// 整人面具
IG_BlueBox,2289,3	// 粪便帽
IG_BlueBox,2290,3	// 葬礼帽
IG_BlueBox,2291,3	// 蝴蝶假面
IG_BlueBox,2294,3	// 星星发夹
IG_BlueBox,2295,3	// 眼罩
IG_BlueBox,2297,3	// 哥布灵面具
IG_BlueBox,2298,3	// 触角头饰
IG_BlueBox,2299,3	// 兽人头盔
IG_BlueBox,2301,3	// 棉衬衫
IG_BlueBox,2302,3	// 棉衬衫
IG_BlueBox,2303,3	// 皮制外套
IG_BlueBox,2304,3	// 皮制外套
IG_BlueBox,2305,3	// 冒险衣
IG_BlueBox,2306,3	// 冒险衣
IG_BlueBox,2307,3	// 大衣
IG_BlueBox,2308,3	// 大衣
IG_BlueBox,2309,3	// 长大衣
IG_BlueBox,2310,3	// 长大衣
IG_BlueBox,2311,3	// 毛皮大衣
IG_BlueBox,2312,3	// 铁制盔甲
IG_BlueBox,2313,3	// 铁制盔甲
IG_BlueBox,2314,3	// 钢铁锁子甲
IG_BlueBox,2315,3	// 钢铁锁子甲
IG_BlueBox,2316,3	// 钢铁盔甲
IG_BlueBox,2317,3	// 钢铁盔甲
IG_BlueBox,2318,3	// 秘衣 美德
IG_BlueBox,2320,3	// 西装外套
IG_BlueBox,2321,3	// 丝质外袍
IG_BlueBox,2322,3	// 丝质外袍
IG_BlueBox,2323,3	// 圣职之袍
IG_BlueBox,2324,3	// 圣职之袍
IG_BlueBox,2325,3	// 圣职之衣
IG_BlueBox,2326,3	// 圣职之衣
IG_BlueBox,2328,3	// 木制盔甲
IG_BlueBox,2329,3	// 木制盔甲
IG_BlueBox,2330,3	// 紧身便衣
IG_BlueBox,2331,3	// 紧身便衣
IG_BlueBox,2332,3	// 秘银之衣
IG_BlueBox,2333,3	// 秘银之衣
IG_BlueBox,2335,3	// 盗贼之衣
IG_BlueBox,2336,3	// 盗贼之衣
IG_BlueBox,2337,3	// 忍服 血樱
IG_BlueBox,2339,3	// 三角裤
IG_BlueBox,2340,3	// 初学者胸铠
IG_BlueBox,2341,3	// 秘银金属盔甲
IG_BlueBox,2352,3	// 初学者忍者斗篷
IG_BlueBox,2365,1	// 奥尔里昂的制服
IG_BlueBox,2401,3	// 轻便鞋
IG_BlueBox,2402,3	// 轻便鞋
IG_BlueBox,2403,3	// 长靴
IG_BlueBox,2404,3	// 长靴
IG_BlueBox,2405,3	// 战士长靴
IG_BlueBox,2406,3	// 战士长靴
IG_BlueBox,2407,3	// 玻璃鞋
IG_BlueBox,2408,3	// 脚炼
IG_BlueBox,2409,3	// 抗魔鞋
IG_BlueBox,2411,3	// 重靴
IG_BlueBox,2414,3	// 初学者海滩鞋
IG_BlueBox,2416,1	// 初学者长靴
IG_BlueBox,2420,1	// 天使的降临
IG_BlueBox,2501,3	// 连帽披肩
IG_BlueBox,2502,3	// 连帽披肩
IG_BlueBox,2503,3	// 披肩
IG_BlueBox,2504,3	// 披肩
IG_BlueBox,2505,3	// 斗篷
IG_BlueBox,2506,3	// 斗篷
IG_BlueBox,2507,3	// 伯爵斗篷
IG_BlueBox,2508,3	// 抗魔斗篷
IG_BlueBox,2510,3	// 初学者阴险披肩
IG_BlueBox,2512,1	// 初学者斗篷
IG_BlueBox,2513,1	// 薄纱围巾
IG_BlueBox,2514,1	// 护肩甲
IG_BlueBox,2515,1	// 老鹰之翅膀
IG_BlueBox,2601,3	// 力量戒指
IG_BlueBox,2602,3	// 智力耳环
IG_BlueBox,2603,3	// 体力项链
IG_BlueBox,2604,3	// 防御手套
IG_BlueBox,2605,3	// 敏捷别针
IG_BlueBox,2607,3	// 发夹
IG_BlueBox,2608,3	// 幸运珠链
IG_BlueBox,2609,3	// 骷髅戒指
IG_BlueBox,2610,3	// 金戒指
IG_BlueBox,2611,3	// 银戒指
IG_BlueBox,2612,3	// 花戒指
IG_BlueBox,2613,3	// 钻石戒指
IG_BlueBox,2617,3	// 智慧手套
IG_BlueBox,2618,3	// 黑狐项链
IG_BlueBox,2621,1	// 力量戒指
IG_BlueBox,2622,1	// 智力耳环
IG_BlueBox,2623,1	// 体力项链
IG_BlueBox,2624,1	// 防御手套
IG_BlueBox,2625,1	// 敏捷别针
IG_BlueBox,2626,1	// 幸运珠链
IG_BlueBox,2627,3	// 皮带
IG_BlueBox,2628,3	// 初学者手镯
IG_BlueBox,2652,1	// 受诅咒的幸运别针
IG_BlueBox,2654,1	// 火忍西怒毕的腰带
IG_BlueBox,2656,1	// 过度的改变
IG_BlueBox,5002,1	// 首领冠冕
IG_BlueBox,5003,3	// 小丑帽
IG_BlueBox,5005,3	// 防毒面具
IG_BlueBox,5006,3	// 颓废眼镜
IG_BlueBox,5009,3	// 安全帽
IG_BlueBox,5010,3	// 印地安发箍
IG_BlueBox,5011,3	// 天线头饰
IG_BlueBox,5014,3	// 剑士头盔
IG_BlueBox,5015,3	// 蛋壳帽
IG_BlueBox,5030,3	// 熊猫帽
IG_BlueBox,5035,3	// 波利帽
IG_BlueBox,5037,3	// 水果皮帽
IG_BlueBox,5055,3	// 初学者蛋壳帽
IG_BlueBox,5085,1	// 红色小发带
IG_BlueBox,5088,3	// 吓坏眼的假面
IG_BlueBox,5089,3	// 讨厌的假面
IG_BlueBox,5090,3	// 哥布灵首领假面
IG_BlueBox,5111,1	// 啤酒企鹅之帽
IG_BlueBox,5112,1	// 超级初学者之帽
IG_BlueBox,5113,1	// 愤怒的嘴
IG_BlueBox,5114,1	// 软呢帽
IG_BlueBox,5116,1	// 香蕉帽
IG_BlueBox,5118,1	// 小狗发圈
IG_BlueBox,5119,1	// 超级初学者之帽
IG_BlueBox,5120,1	// 软呢帽
IG_BlueBox,5122,1	// 魔术无边帽
IG_BlueBox,5175,1	// 匿名邀请
IG_BlueBox,7001,12	// 霉菌粉末
IG_BlueBox,7002,12	// 兽人之牙
IG_BlueBox,7003,12	// 虎蜥皮
IG_BlueBox,7004,12	// 泥团
IG_BlueBox,7005,12	// 骷髅头
IG_BlueBox,7006,12	// 红色蝙蝠翅膀
IG_BlueBox,7007,12	// 巨鼠指甲
IG_BlueBox,7008,12	// 钢硬之角
IG_BlueBox,7009,12	// 彩色外皮
IG_BlueBox,7010,12	// 铁蝎尾巴
IG_BlueBox,7011,12	// 猴子指甲
IG_BlueBox,7012,12	// 强韧鳞梗
IG_BlueBox,7013,12	// 珊瑚
IG_BlueBox,7014,12	// 破旧画像
IG_BlueBox,7015,12	// 回忆书签
IG_BlueBox,7016,12	// 老旧汤匙
IG_BlueBox,7026,12	// 钟塔之钥
IG_BlueBox,7027,12	// 钟塔钥匙
IG_BlueBox,7030,12	// 沙漠之狼之指甲
IG_BlueBox,7031,12	// 破旧平底锅
IG_BlueBox,7032,12	// 蛋壳碎片
IG_BlueBox,7033,12	// 毒魔菇芽孢
IG_BlueBox,7034,12	// 破洞圣诞袜
IG_BlueBox,7035,12	// 火柴
IG_BlueBox,7036,12	// 卡仑之牙
IG_BlueBox,7038,12	// 毛线
IG_BlueBox,7041,12	// 黄晶沙的一角
IG_BlueBox,7047,12	// 爱丽丝的围裙
IG_BlueBox,7048,12	// 狮鹫兽的指甲
IG_BlueBox,7049,12	// 石头
IG_BlueBox,7053,12	// 赛依伐
IG_BlueBox,7054,12	// 布里刊
IG_BlueBox,7059,12	// 卡普拉仓库免费利用券
IG_BlueBox,7060,12	// 卡普拉传送点免费利用券
IG_BlueBox,7061,12	// 卡普拉手推车免费利用券
IG_BlueBox,7063,12	// 柔软的羽毛
IG_BlueBox,7064,12	// 蜻蜓的翅膀
IG_BlueBox,7065,12	// 海獭的皮革
IG_BlueBox,7066,12	// 冰块一角
IG_BlueBox,7067,12	// 石头一角
IG_BlueBox,7068,12	// 燃烧一半的木材
IG_BlueBox,7069,12	// 破裂的盔甲一角
IG_BlueBox,7070,12	// 破裂的硬壳
IG_BlueBox,7071,12	// 破烂烂的衣服
IG_BlueBox,7072,12	// 锈的飞镖
IG_BlueBox,7093,12	// 齿轮
IG_BlueBox,7094,12	// 未知的碎片
IG_BlueBox,7095,12	// 金属破片
IG_BlueBox,7096,12	// 凝固的岩浆
IG_BlueBox,7097,12	// 燃烧的心脏
IG_BlueBox,7098,12	// 火种
IG_BlueBox,7099,12	// 老旧魔法图
IG_BlueBox,7100,12	// 尖锐的叶子
IG_BlueBox,7101,12	// 七彩大嘴鸟之羽
IG_BlueBox,7106,12	// 魔羌之角
IG_BlueBox,7107,12	// 魔羌之毛皮
IG_BlueBox,7108,12	// 盾牌的碎片
IG_BlueBox,7109,12	// 闪亮的枪锥
IG_BlueBox,7110,12	// 破裂之剑
IG_BlueBox,7111,12	// 光滑的纸
IG_BlueBox,7112,12	// 恐怖的纸刃
IG_BlueBox,7113,12	// 破碎的法老王象征
IG_BlueBox,7114,12	// 杜唐卡门面具
IG_BlueBox,7115,12	// 哈比的羽毛
IG_BlueBox,7116,12	// 哈比的指甲
IG_BlueBox,7117,12	// 撕裂的魔法书
IG_BlueBox,7118,12	// 撕裂的卷轴
IG_BlueBox,7119,12	// 菌丝
IG_BlueBox,7120,12	// 燃烧的马蹄铁
IG_BlueBox,7121,12	// 蜂蜜罐
IG_BlueBox,7122,12	// 炙热的毛
IG_BlueBox,7123,12	// 龙皮
IG_BlueBox,7124,12	// 砂团
IG_BlueBox,7125,12	// 蝎子之螯
IG_BlueBox,7126,12	// 巨大杰勒比结晶
IG_BlueBox,7134,12	// 药钵
IG_BlueBox,7135,12	// 火烟瓶
IG_BlueBox,7136,12	// 盐酸瓶
IG_BlueBox,7137,12	// 噬人植物瓶
IG_BlueBox,7138,12	// 刺锤瓶
IG_BlueBox,7139,12	// 护贝药
IG_BlueBox,7149,12	// 黄色碟子
IG_BlueBox,7150,12	// 竹筒
IG_BlueBox,7151,12	// 油纸
IG_BlueBox,7152,12	// 光泽的头发
IG_BlueBox,7153,12	// 旧和服
IG_BlueBox,7154,12	// 毒粉
IG_BlueBox,7155,12	// 牛蛙之皮
IG_BlueBox,7156,12	// 破旧之手里剑
IG_BlueBox,7157,12	// 黑色覆面
IG_BlueBox,7158,12	// 破碎的酒缸
IG_BlueBox,7159,12	// 天狗的鼻子
IG_BlueBox,7161,12	// 拉链熊毛皮
IG_BlueBox,7162,12	// 片云
IG_BlueBox,7163,12	// 锐利的触角
IG_BlueBox,7164,12	// 石榴桃
IG_BlueBox,7165,12	// 害羞之服
IG_BlueBox,7166,12	// 柔软的绸缎布
IG_BlueBox,7167,12	// 魔幻拉链
IG_BlueBox,7168,12	// 巨大翅膀
IG_BlueBox,7169,12	// 太极盘
IG_BlueBox,7171,12	// 花豹外皮
IG_BlueBox,7172,12	// 花豹指甲
IG_BlueBox,7174,12	// 缎带
IG_BlueBox,7175,12	// 包装纸
IG_BlueBox,7182,12	// 可可
IG_BlueBox,7186,12	// 细长梗
IG_BlueBox,7187,12	// 庆典面具
IG_BlueBox,7188,12	// 褐色树根
IG_BlueBox,7189,12	// 树木心脏
IG_BlueBox,7190,12	// 昆虫硬壳
IG_BlueBox,7191,12	// 纸灯笼
IG_BlueBox,7192,12	// 小风车手里刀
IG_BlueBox,7193,12	// 绿芽
IG_BlueBox,7194,12	// 柔软的草叶
IG_BlueBox,7195,12	// 弹弓
IG_BlueBox,7196,12	// 木制护肩
IG_BlueBox,7197,12	// 强韧木藤条
IG_BlueBox,7198,12	// 巨大叶子
IG_BlueBox,7200,12	// 橡皮筋
IG_BlueBox,7201,12	// 木块
IG_BlueBox,7202,12	// 巨象甲虫之螯
IG_BlueBox,7203,12	// 坚硬树枝
IG_BlueBox,7205,12	// 黑色布条
IG_BlueBox,7206,12	// 黑猫娃娃
IG_BlueBox,7207,12	// 旧斗篷
IG_BlueBox,7208,12	// 生锈厨刀
IG_BlueBox,7209,12	// 无颅武士的头盔
IG_BlueBox,7210,12	// 无颅武士的盔甲一角
IG_BlueBox,7211,12	// 罗诫塔石头碎片
IG_BlueBox,7212,12	// 吊颈娃娃
IG_BlueBox,7213,12	// 绣针包
IG_BlueBox,7214,12	// 蝙蝠笼子
IG_BlueBox,7215,12	// 断针
IG_BlueBox,7216,12	// 红色围巾
IG_BlueBox,7217,12	// 缠线筒
IG_BlueBox,7218,12	// 腐烂的绳子
IG_BlueBox,7219,12	// 彩色袜子
IG_BlueBox,7220,12	// 绿色粘稠物
IG_BlueBox,7221,12	// 纠缠铁链
IG_BlueBox,7222,12	// 原木块
IG_BlueBox,7223,12	// 扭曲的自画像
IG_BlueBox,7225,12	// 南瓜灯笼
IG_BlueBox,7262,12	// 折扇
IG_BlueBox,7263,12	// 猫眼石
IG_BlueBox,7264,12	// 干沙子
IG_BlueBox,7265,12	// 舞狮之角
IG_BlueBox,7266,12	// 舞狮的假牙
IG_BlueBox,7267,12	// 豹纹内裤
IG_BlueBox,7268,12	// 小鬼灵
IG_BlueBox,7269,12	// 围兜兜
IG_BlueBox,7270,12	// 婴儿的奶瓶
IG_BlueBox,7315,1	// 黑色水晶碎片
IG_BlueBox,7316,1	// 昆虫的长腿
IG_BlueBox,7317,1	// 生锈的螺丝
IG_BlueBox,7318,1	// 老旧的十字镐
IG_BlueBox,7319,1	// 老旧的铁板
IG_BlueBox,7320,1	// 粉尘
IG_BlueBox,7321,1	// 水晶碎片
IG_BlueBox,7322,1	// 有毒瓦斯
IG_BlueBox,7323,1	// 变形水壶
IG_BlueBox,7325,1	// 软管
IG_BlueBox,7326,1	// 荧光色的液体
IG_BlueBox,7327,1	// 怀中电灯
IG_BlueBox,7440,1	// 红色羽毛
IG_BlueBox,7441,1	// 蓝色羽毛
IG_BlueBox,7442,1	// 被诅咒的印
IG_BlueBox,7443,1	// 多头龙的首级
IG_BlueBox,7444,1	// 财宝箱
IG_BlueBox,7445,1	// 绿色龙珠
IG_BlueBox,7446,1	// 蓝色龙珠
IG_BlueBox,7447,1	// 红色龙珠
IG_BlueBox,7448,1	// 黄色龙珠
IG_BlueBox,7449,1	// 染血的书页
IG_BlueBox,7450,1	// 骨制盔甲的碎片
IG_BlueBox,7451,1	// 脱落的红色龙鳞
IG_BlueBox,7452,1	// 黄色香料
IG_BlueBox,7453,1	// 甜酱汁
IG_BlueBox,7454,1	// 淡酱汁
IG_BlueBox,7455,1	// 辣酱汁
IG_BlueBox,7456,1	// 红色香料
IG_BlueBox,7457,1	// 食用油
IG_BlueBox,7472,1	// 1级烹饪书
IG_BlueBox,7473,1	// 2级烹饪书
IG_BlueBox,7474,1	// 3级烹饪书
IG_BlueBox,7475,1	// 4级烹饪书
IG_BlueBox,7476,1	// 5级烹饪书
IG_BlueBox,7482,1	// 锅
IG_BlueBox,7512,1	// 烧焦的部品碎片
IG_BlueBox,7513,1	// 怀表
IG_BlueBox,7561,15	// 冰块心脏
IG_BlueBox,7562,15	// 冰块鳞片
IG_BlueBox,7563,15	// 血色的轮
IG_BlueBox,7564,15	// 发臭的鱼
IG_BlueBox,7565,15	// 黏黏的毒液
IG_BlueBox,7567,1	// 异常的帽子
IG_BlueBox,7568,1	// 白色面具
IG_BlueBox,7751,34	// 破旧的白衣
IG_BlueBox,7752,32	// 抖落的骷髅
IG_BlueBox,7753,34	// 断裂的农器具
IG_BlueBox,10001,3	// 牛角骨盔
IG_BlueBox,10002,3	// 宠物防毒面具
IG_BlueBox,10003,3	// 潜水帽子
IG_BlueBox,10004,3	// 宠物奶嘴
IG_BlueBox,10005,3	// 三色假发
IG_BlueBox,10006,3	// 蛇饰发箍
IG_BlueBox,10007,3	// 宠物发带
IG_BlueBox,10008,3	// 体罚棒
IG_BlueBox,10009,3	// 野生花
IG_BlueBox,10010,3	// 变形锅子
IG_BlueBox,10011,3	// 宠物发夹
IG_BlueBox,10012,3	// 宠物蛋壳帽
IG_BlueBox,10013,3	// 宠物书包
IG_BlueBox,10014,3	// 蝗虫眼镜
IG_BlueBox,10015,3	// 宠物围兜兜
IG_BlueBox,10016,3	// 宠物铃铛
IG_BlueBox,10017,3	// 树皮裤
IG_BlueBox,10018,3	// 猴子发箍
IG_BlueBox,10019,3	// 红色领巾
IG_BlueBox,10020,3	// 灵幻道士之剑
IG_BlueBox,13000,1	// 刺枣短剑
IG_BlueBox,13001,1	// 天龙短剑
IG_BlueBox,13002,1	// 卡卡普剑
IG_BlueBox,13003,1	// 考尔德短刀
IG_BlueBox,13004,1	// 考尔德短刀
IG_BlueBox,13163,1	// 长身来复枪
IG_BlueBox,13164,1	// 长身来复枪
IG_BlueBox,13167,1	// 短口创DD
IG_BlueBox,13168,1	// THUNDER-P
IG_BlueBox,13170,2	// 优化的来复枪
IG_BlueBox,13200,1	// 子弹
IG_BlueBox,13201,1	// 银色子弹
IG_BlueBox,13202,1	// 红色子弹
IG_BlueBox,13203,1	// 火焰子弹
IG_BlueBox,13204,1	// 雷击子弹
IG_BlueBox,13205,1	// 毒物子弹
IG_BlueBox,13206,1	// 暗盲子弹
IG_BlueBox,13207,1	// 冰冻子弹
IG_BlueBox,13304,1	// 风魔飞镖:启明星
